GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46
1400000US48453001840,48453001840,"Census Tract 18.40, Travis County, Texas",3599,119,2148,245,139,119,0,20,0,20,139,119,229,100,27,33,57,57,145,84,336,144,126,80,60,49,150,112,356,129,90,79,164,92,102,66,1040,226,920,213,120,89,0,20,48,64,1451,233,211,119,0,20,0,20,211,119,387,186,0,20,34,54,353,166,242,147,0,20,93,87,149,123,239,130,104,79,135,127,0,20,337,139,302,130,35,43,0,20,24,30,11,18
1400000US48453001841,48453001841,"Census Tract 18.41, Travis County, Texas",5348,235,4047,424,96,67,0,20,18,27,78,69,327,186,83,99,34,41,210,170,465,219,173,154,74,69,218,148,940,265,397,163,224,125,319,190,2219,384,1904,377,304,158,11,23,0,20,1301,385,124,75,0,20,0,20,124,75,407,251,0,20,0,20,407,251,185,166,0,20,11,18,174,164,243,173,0,20,69,84,174,153,263,183,135,136,128,113,0,20,0,20,79,117
1400000US48453001842,48453001842,"Census Tract 18.42, Travis County, Texas",3075,115,2003,285,129,92,0,20,0,20,129,92,220,108,15,24,75,79,130,94,245,134,69,66,85,92,91,56,682,202,259,118,236,153,187,133,706,206,370,149,336,171,0,20,21,33,1072,293,296,187,0,20,0,20,296,187,66,54,20,30,0,20,46,43,261,165,0,20,53,63,208,152,168,119,105,113,16,26,47,49,281,160,192,125,89,105,0,20,0,20,0,20
1400000US48453001843,48453001843,"Census Tract 18.43, Travis County, Texas",1018,39,662,85,35,25,0,13,5,8,30,24,69,34,10,12,0,13,59,34,40,20,11,9,9,10,20,17,159,50,77,33,33,20,49,31,359,85,311,85,45,34,3,6,0,13,356,77,20,22,0,13,0,13,20,22,89,48,0,13,15,24,74,44,29,32,0,13,19,28,10,11,94,59,0,13,29,28,65,53,79,39,70,37,9,11,0,13,0,13,45,38
1400000US48453001844,48453001844,"Census Tract 18.44, Travis County, Texas",1672,85,536,121,14,15,0,13,0,13,14,15,63,45,7,11,0,13,56,43,57,49,0,13,17,18,40,45,187,86,38,31,101,60,48,49,215,73,215,73,0,13,0,13,0,13,1136,145,196,86,0,13,0,13,196,86,246,86,0,13,0,13,246,86,284,115,0,13,87,65,197,93,201,94,39,47,105,65,57,54,190,79,165,70,25,37,0,13,0,13,19,25
1400000US48453001845,48453001845,"Census Tract 18.45, Travis County, Texas",1371,102,879,100,59,39,0,13,0,13,59,39,130,54,33,30,19,17,78,53,107,53,42,32,25,28,40,33,186,78,56,34,55,34,75,63,397,88,288,87,100,55,9,15,0,13,492,115,142,82,0,13,0,13,142,82,35,23,0,13,0,13,35,23,80,61,0,13,58,49,22,32,92,62,21,33,50,45,21,24,143,75,124,72,19,24,0,13,0,13,0,13
1400000US48453001846,48453001846,"Census Tract 18.46, Travis County, Texas",1047,37,972,52,52,34,0,13,0,13,52,34,83,36,10,13,11,11,62,31,34,23,0,13,6,10,28,20,170,48,50,22,39,23,81,39,612,65,440,73,155,53,17,17,21,27,75,36,6,9,0,13,0,13,6,9,18,28,0,13,0,13,18,28,5,8,0,13,0,13,5,8,12,13,0,13,12,13,0,13,34,25,5,8,29,24,0,13,0,13,0,13
1400000US48453001847,48453001847,"Census Tract 18.47, Travis County, Texas",2990,142,1618,171,76,44,18,28,12,19,46,32,71,52,34,40,0,18,37,44,66,56,12,19,0,18,54,54,308,155,104,89,84,70,120,112,1097,196,736,168,337,144,24,38,0,18,1372,201,106,74,0,18,0,18,106,74,481,218,26,39,0,18,455,216,199,114,0,18,109,87,90,81,311,148,98,79,109,84,104,94,262,128,223,125,39,32,0,18,13,22,0,18
1400000US48453001848,48453001848,"Census Tract 18.48, Travis County, Texas",2000,128,965,149,20,35,0,18,0,18,20,35,29,32,0,18,0,18,29,32,109,58,43,40,16,26,50,37,178,89,50,38,28,22,100,81,629,129,463,121,160,79,6,11,0,18,1035,137,75,56,0,18,0,18,75,56,114,59,8,12,0,18,106,60,209,108,0,18,92,78,117,77,324,127,58,46,234,125,32,28,283,103,218,97,55,37,10,17,30,26,0,18
1400000US48453001849,48453001849,"Census Tract 18.49, Travis County, Texas",3531,302,41,39,16,27,0,18,0,18,16,27,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,14,22,14,22,0,18,0,18,11,17,3490,304,305,169,0,18,24,41,281,156,420,181,0,18,0,18,420,181,507,167,0,18,177,97,330,132,944,277,136,111,682,239,126,95,1149,283,974,252,175,122,0,18,42,34,123,116
