GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Quintile Share of Aggregate Income: - Lowest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Lowest Quintile,Estimate; Quintile Share of Aggregate Income: - Second Quintile,Margin of Error; Quintile Share of Aggregate Income: - Second Quintile,Estimate; Quintile Share of Aggregate Income: - Third Quintile,Margin of Error; Quintile Share of Aggregate Income: - Third Quintile,Estimate; Quintile Share of Aggregate Income: - Fourth Quintile,Margin of Error; Quintile Share of Aggregate Income: - Fourth Quintile,Estimate; Quintile Share of Aggregate Income: - Highest Quintile,Margin of Error; Quintile Share of Aggregate Income: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
1400000US48453001833,48453001833,"Census Tract 18.33, Travis County, Texas",3.02,1.05,7.94,2.55,13.26,3,20.24,3.75,55.53,9,27.93,11.44
1400000US48453001834,48453001834,"Census Tract 18.34, Travis County, Texas",4.32,1.24,10.15,1.72,14.22,2.09,21.13,2.73,50.17,6.75,24.39,9.16
1400000US48453001835,48453001835,"Census Tract 18.35, Travis County, Texas",6.37,0.67,11.97,1.52,18.26,1.26,25.33,1.13,38.07,2.3,12.57,0.89
1400000US48453001839,48453001839,"Census Tract 18.39, Travis County, Texas",5.31,1.27,12.47,1.13,18.42,1.17,24.46,1.13,39.33,2.67,13.72,2.52
1400000US48453001840,48453001840,"Census Tract 18.40, Travis County, Texas",4.53,1,10.67,1.15,17.44,1.35,26.27,1.2,41.1,2.57,14.19,1.66
1400000US48453001841,48453001841,"Census Tract 18.41, Travis County, Texas",5.25,1.02,11.47,1.14,17.4,1.1,24.86,1.13,41.02,2.54,12.73,0.96
1400000US48453001842,48453001842,"Census Tract 18.42, Travis County, Texas",4.92,1.25,12.27,1.62,17.25,2.12,22.79,2.32,42.76,5.57,18.02,5.9
1400000US48453001843,48453001843,"Census Tract 18.43, Travis County, Texas",5.27,1.01,11.65,2.1,17.19,1,23.58,1.3,42.32,2.89,14.39,1.58
1400000US48453001844,48453001844,"Census Tract 18.44, Travis County, Texas",5.22,1.14,10.63,1.57,15.26,1.83,21.31,2.35,47.58,5.57,20.04,7.05
1400000US48453001845,48453001845,"Census Tract 18.45, Travis County, Texas",4,1.17,10.57,1.36,16.79,1.65,26.18,2.13,42.46,4.03,15.48,3.49
1400000US48453001846,48453001846,"Census Tract 18.46, Travis County, Texas",4.17,1.37,11.69,1.26,17.37,1.48,25.08,1.46,41.69,3.33,15.34,2.43
1400000US48453001847,48453001847,"Census Tract 18.47, Travis County, Texas",5.22,0.9,11.15,1.73,17.11,1.36,24.96,1.36,41.56,2.72,14.21,1.9
1400000US48453001848,48453001848,"Census Tract 18.48, Travis County, Texas",5.98,1.28,11.78,1.32,16.66,1.21,24.04,1.88,41.54,2.98,14.35,1.93
1400000US48453001849,48453001849,"Census Tract 18.49, Travis County, Texas",4.29,1.46,11.22,1.47,16.33,1.47,23.68,1.76,44.47,3.79,17.44,2.92
1400000US48453001850,48453001850,"Census Tract 18.50, Travis County, Texas",5.3,1.61,11.45,1.83,15.16,2.18,21.33,3.41,46.76,7.17,21.39,7.73
1400000US48453001851,48453001851,"Census Tract 18.51, Travis County, Texas",5.42,1.25,12.02,0.95,17.21,1.33,24.87,1.02,40.49,2.38,13.03,1.3
