GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1400000US48453002402,48453002402,"Census Tract 24.02, Travis County, Texas",2500,262,53,53,194,103,491,191,275,130,446,189,79,70,91,91,268,185,515,197,88,75
1400000US48453002403,48453002403,"Census Tract 24.03, Travis County, Texas",376,101,0,13,19,26,50,45,21,27,47,41,6,9,48,49,19,27,162,73,4,7
1400000US48453002407,48453002407,"Census Tract 24.07, Travis County, Texas",828,153,0,18,49,56,129,110,172,100,28,28,78,71,76,85,69,85,196,104,31,33
1400000US48453002409,48453002409,"Census Tract 24.09, Travis County, Texas",574,95,36,52,16,29,63,51,87,73,65,64,74,56,35,37,10,15,150,71,38,40
1400000US48453002410,48453002410,"Census Tract 24.10, Travis County, Texas",1212,128,36,43,27,23,101,59,214,89,167,87,109,72,120,77,65,52,312,100,61,47
1400000US48453002411,48453002411,"Census Tract 24.11, Travis County, Texas",1038,153,32,47,0,18,99,59,108,102,109,83,132,68,90,70,139,73,317,110,12,20
1400000US48453002412,48453002412,"Census Tract 24.12, Travis County, Texas",516,105,0,18,29,33,118,70,53,45,59,52,45,39,38,36,30,28,144,80,0,18
1400000US48453002413,48453002413,"Census Tract 24.13, Travis County, Texas",911,100,0,18,41,42,52,46,104,62,161,77,47,50,58,56,188,112,231,102,29,37
1400000US48453002419,48453002419,"Census Tract 24.19, Travis County, Texas",1808,103,62,57,116,51,228,86,191,83,264,95,213,108,55,42,118,67,497,134,64,51
1400000US48453002421,48453002421,"Census Tract 24.21, Travis County, Texas",2376,199,20,33,218,123,387,168,315,138,315,162,226,112,93,73,424,161,279,144,99,95
1400000US48453002422,48453002422,"Census Tract 24.22, Travis County, Texas",1495,181,52,83,146,87,248,181,42,38,182,127,221,136,61,53,221,138,256,143,66,59
